"Logo","Nom","Secteur","Année de création","Label Date","Site web","Résumé","Founders","Courriel","Téléphone"
"undefined","autoecoleplus.tn","Business Software and services","2020","03/2021","","Autoecoleplus.tn est un système de gestion pour les propriétaires d'autoécoles, et un espace candidat pour des cours du code de la route en ligne.","Mohamed Amine JendoubiAhmed NemlaghiMohamed Badii Jendoubi","n.a.","n.a."
"undefined","Liberrex","Business Software and services","2020","12/2020","","Liberrex offre une solution de gestion virtuelle des flux clients à tous les types de fournisseurs de services (Hôpital, Municipalité, médecin privé, salon de beauté, etc.) pour résoudre le problème des longs temps d'attente et éliminer les files d'attente physique et, par conséquent, augmenter la satisfaction des clients.","Achraf Ammar","n.a.","n.a."
"undefined","Guepard","Business Software and services","2024","07/2024","","On offre une solution software pour les infrastructures data qui permet de virtualiser les environnements sur demande et automatiser la compliance par IA","Koutheir CherniGhassen MenaouarHani CHALOUATI","contact@guepard.run","20904017"
"undefined","iMMOTECH","Business Software and services","2020","02/2021","","iMMOTECH offre une solution pour vendre les projets immobiliers à travers des outils de commercialisation et de marketing exclusifs et uniques","Cyrine Ben AyedAndolsi JihedYassine JalloulMohamed Raafet Limam","n.a.","n.a."
"undefined","SAFOZI SARL","Business Software and services","2012","06/2019","","SAFOZI est le premier fournisseur régional des services d'nfrastructure TIC, tels que, les serviecs d'hébergement et les serveurs Cloud (Public Cloud: IaaS et PaaS).","Zied Ouled Ali","n.a.","n.a."
"undefined","Gelivro","Business Software and services","2021","08/2021","","Gelivro est une plateforme SaaS qui garantit la facturation, le contrôle et le suivi de la livraison et les livreurs. Ils fournissent une expérience qui combine la facturation et la livraison.","Ramzi HouidiRim Harabi","n.a.","n.a."
"undefined","STARK","Business Software and services","2019","06/2020","","Un ERP Multi-devices en deux versions : OnPremise et SAAS destiné au marché local et au marché Africain. Fort de ses modules Paie et Comptabilité.","Mohamed Mzid","n.a.","n.a."
"undefined","SamRise","Business Software and services","2022","07/2023","","null","Mohamed Aziz Ben MahmoudImed hananaMariem HamzaouiArbi SoussiFeriel SAMRISE","n.a.","n.a."
"undefined","arsela","Business Software and services","2019","08/2019","","Arsela vise à développer des plateformes intelligentes qui contribuent à l'amélioration de la qualité de vie de ses utilisateurs.","Ines HafiAchref Ben OuannesAhmed Ben Zineb","n.a.","n.a."
"undefined","CodePro Qr","Business Software and services","2024","02/2024","","Nous générons des QR codes pour les établissements de restauration afin que les clients puissent commander via leur téléphone et offrons des statistiques aux propriétaires.","Mourad Sahloul","n.a.","n.a."
"undefined","QualiMaker","Business Software and services","2024","05/2024","","null","Mehdi ZAABAR","n.a.","n.a."
"undefined","ESKY PROFESSIONAL SERVICES","Business Software and services","2017","02/2020","","A cloud based global e-commerce logistic platform offering multi-warehousing, order fulfillment, shipping, return management and more.","Kais Khadhraoui","n.a.","n.a."
"undefined","Ailine Pro","Business Software and services","2024","11/2024","","null","Ines Achourchtourou saifNadra Achour","n.a.","n.a."
"undefined","OCTOMIRO","Business Software and services","2024","02/2024","","Solution d'IA intégrée à un système ERP, fournissant une analyse en temps réel des
 conformité du produit, détection autonome des anomalies et comptage des objets basés sur la vision par ordinateur.","Montasser KhamassiNour El Houda ShiliMohieddine DrissiSlim Griri","contact@octomiro.ai","98137366"
"undefined","Mouqawel","Business Software and services","2023","08/2023","","Mouqawel.tn : Plateforme digitale dédiée aux Entreprises et Professionnels du secteur du Bâtiment et des Travaux Publics en Tunisie.","ikbel sassi","contact@mouqawel.tn","92449448"
"undefined","Tekum","Business Software and services","2020","12/2020","","Tekum offre le CRM Bird Notes pour les industriels pharmaceutiques, pour gérer leurs équipes de délégués ainsi que les tournées médicales d’une façon plus efficace et précise.","Nizar EllouzeGhorbel Amal","n.a.","n.a."
"undefined","elbusines.com","Business Software and services","2021","05/2021","","ElBusines.com est une Busines Marketplace permettant le matchmaking ainsi que la mise en relation entre les chercheurs d’opportunités d’investissement et les porteurs de projets.","Hela JelassiAnis Borchani","n.a.","n.a."
"undefined","KTN","Business Software and services","2021","07/2021","","KTN TRAFIC est un dispositif composé d'une caisse trieuse karakuri universelle et d'un support smartphone intégré en plus d'une application mobile de contrôle et de traçabilité des paiements des billets des taxis collectifs Louage.","Mohamed Salah Zaggar","n.a.","n.a."
"undefined","ALMOURAFEK","Business Software and services","2020","08/2020","","Smart Aid Technologies développe des solutions intelligentes, pour l'aide à la prise de décisions pour des entreprises ou des particuliers. SA-Tech offre spécialement une gamme de dispositifs d'assistance à la navigation permettant aux personnes à besoins spécifiques de bien interagir avec leur environnement et de surmonter leurs incapacités","Imène Khanfir KallelSonda Ammar Bouhamed","n.a.","n.a."
"undefined","Shopy Science","Business Software and services","2022","08/2022","","Shopy Science est une solution SaaS d’analyse de données disponible pour les boutiques utilisant la plate-forme eCommerce Shopify.
 Elle propose de centraliser leurs data puis de les traiter à des fins d’attribution marketing et d’analyses clients.","Gael PersonnazGaelle Personnaz","n.a.","n.a."
"undefined","WeGestU","Business Software and services","2021","06/2024","","null","Lassaad Ben Rejeb","n.a.","n.a."
"undefined","D-carte","Business Software and services","2022","12/2022","","Première carte visite Digitale (NFC) hybride, et première plateforme de gestion de contact complète et polyvalente orientée pour l'entreprise","Fourat OuerghemmiSkander Hadj RomdhanAla Ben Hassen","dcarte.tn@gmail.com","53479474"
"undefined","SkilinK AI","Business Software and services","2022","12/2024","","SkilinKAI est une entreprise innovante dans le domaine des technologies RH (HRTech). SkilinKAI propose une plateforme alimentée par l'intelligence artificielle, axée sur l'ensemble du cycle de vie des talents, de leur recrutement à leur développement de carrière. En combinant analyses basées sur l'IA, engagement personnalisé et pratiques éthiques en matière d'IA, SkilinKAI se distingue comme une solution complète pour les entreprises modernes. Ses services s'adressent à la fois aux employeurs et aux employés, garantissant un écosystème où les talents et les opportunités se connectent harmonieusement.","Nadhir KhayatiNaoufel Khayati","n.a.","n.a."
"undefined","Addvocate AI","Business Software and services","2024","03/2025","","null","Mohamed Ridha MamiSofyan Chekir","n.a.","n.a."
"undefined","EATISY","Business Software and services","2020","11/2020","","Eatisy est une solution web et mobile pour passer commande dans un endroit Food & beverage en ligne en assurant la visibilité pour le client sur l'état de sa commande.","Walid BaltagiHamed BaltagiChekib ChakrounChedi Chakroun","n.a.","n.a."
"undefined","Optypro.net","Business Software and services","2024","11/2024","","null","Oussama Meknassi","n.a.","n.a."
"undefined","Fouita","Business Software and services","2020","12/2020","","Fouita simplifie la création et l'amélioration des sites web suite à un accès direct à une bibliothèque des composants plug and play, organisés par thème et par domaine d’activité.","Abdelhay Najjar","n.a.","n.a."
"undefined","Kiwi Stock Light","Business Software and services","2017","08/2020","","Kiwi Stock Light est une plateforme cloud qui permet de mieux gérer son entreprise: gestion des ventes, achats, dépenses, clients, fournisseurs...","Ali Bouslama","n.a.","n.a."
"undefined","IsOne Hr","Business Software and services","2025","03/2025","","test","Meryam BoughzalaLouay AtouiBilel Ben salem","n.a.","n.a."
"undefined","Canadin","Business Software and services","2023","03/2023","","Saas Hr Solution dedié pour les cabinets de recrutement au canada afin de simplifier le processus de mobilité internationale","Aymen JhidriWassim Abdel MalekMohamed Ali Ben SlimenSouad BelghithDhiaeddinne Rahali","n.a.","n.a."
"undefined","Slidzo","Business Software and services","2022","08/2022","","Slidzo est une nouvelle plateforme de présentations en ligne qui permet de créer des présentations inspirantes en 2D et en 3D. Avec Slidzo vous pouvez facilement créer vos slides, utiliser des templates, collaborer avec vos équipes, gérer vos espaces de travail etc...
 Vous pouvez aussi éditer des présentations en 3D depuis le confort de notre éditeur de slides classique.
 Les présentations en 3D sont parfaites pour inspirer votre audience, donner plus d'impact à vos idées, ou simplement pour une visualisation détaillée de vos sujets.
 Encore plus de templates seront disponibles au cours des prochaines semaines et prochains mois.
 Notre mission est de rendre les présentations impressionnantes accessibles à tout le monde.","Fedi Ben Nejma","contact@slidzo.com","+216 55 357 225"
"undefined","Eva Dam Technology","Business Software and services","2021","07/2021","","EDM KYC est le dispositif de filtrage de Evadam, qui consiste à vérifier les documents, analyse biométrique sur l'utilisateur et un reporting immédiat avec un score. le projet a pour but la lutte contre les fraudes sur le web et le blanchiment d’argent en assurant un autre niveau de sécurité des données.","Souhail MsakniSami SghaierAhmed Liouene","n.a.","n.a."
"undefined","NetConf","Business Software and services","2023","09/2023","","BeSynchro est une société spécialisée dans le développement de solutions d'automatisation pour la gestion et la supervision des réseaux (xDSL & FTTx).","Houssem Jarraya","contact@besynchro.net","n.a."
"undefined","Xtendplex","Business Software and services","2015","03/2020","","Xtendplex est un algorithme capable de faciliter l'interaction entre l’être humain et l’objet d’une manière transparente et intuitive.","Ahmed Ben HamoudaHassan Cheriha","n.a.","n.a."
"undefined","SupplyzPro","Business Software and services","2023","03/2024","","SupplyzPro est une solution ERP innovante qui résout les problèmes de rupture de stock et de surstock grâce à des modèles d'intelligence artificielle pré-entraînés et adaptés à chaque client. Elle permet de gérer efficacement vos stocks, ventes, et achats, tout en offrant une plateforme hautement personnalisable avec des droits d'accès dynamiques selon les rôles. SupplyzPro simplifie vos opérations commerciales et optimise vos décisions stratégiques grâce à des prévisions précises et une gestion intelligente des données.","Seddik HouimliMohamed Amine AbdenadherHazem HousseiniMahdi HsanKoutheir Cherni","contact@supplyzpro.com","+21658299567"
"undefined","DATASCAI","Business Software and services","2017","08/2020","","PNRGain est une application destinée pour les agences de voyages afin d'optimiser leurs ventes en billetries grâce au algorithmes et l'intelligence artificielle.","Mohamed Karim Bouaziz","n.a.","n.a."
"undefined","bqube","Business Software and services","2017","05/2022","","BQube ITs est une start-up spécialiste en Industrie4.0. Elle offre la solution QMES en mode SAAS (Software as a Service) exploitable au sein ou en dehors de la structure (accessible de partout), qui permet une gestion et un contrôle h24 du déroulement des activités. Afin de permettre les entreprises industrielles de maîtriser tous les détails du processus de production qui ont un impact négatif sur l'efficacité et la qualité de leurs opérations QMES 4.0 a été conçu pour: - Avoir une meilleure gestion du flux de l'usine - améliorer les pertes de performance, de qualité et de disponibilité -Faire le suivi de l'usine en temps réel. -Analyser le rendement et l'identification des problèmes","Mohamed Abed BechiriMohamed SaidiSamia Saaidia","b.contact@bqubeits.com","70146565"
"undefined","Smarketyrs","Business Software and services","2020","06/2021","","Smarketyrs est un outil SaaS d’Inbound Marketing basé sur l'IA, il amplifie la conversion et l’engagement des visiteurs avec un monitoring en temps réel en utilisant l’intelligence artificielle native.","Mohamed BahriHayet RaisJeremy Rochot","n.a.","n.a."
"undefined","datavision","Business Software and services","2019","11/2019","","Datavision est une solution de tracking de l'experience visiteur en temps réel offrant des recommandations d'amélioration pour les points de vente, les malls et les agences publicitaires","Skander AmorBorhen Jlidi","n.a.","n.a."
"undefined","Bon'Heure","Business Software and services","2019","11/2019","","Bon’Heure est une plateforme intelligente permettant l’optimisation et la facilitation du quotidien des entreprises et de leurs collaborateurs.                              En s’engageant pour un meilleur équilibre vie pro – vie perso et en soutenant la performance tant individuelle que collective, B’H est le partenaire et l’interlocuteur unique pour la vie en entreprise.","Nour TekayaSkander Gafsi","n.a.","n.a."
"undefined","VME Internationale","Business Software and services","2019","01/2020","","Notre objectif est de mettre le digital au service du bien être collectif.                              VME Internationale est une plateforme (web et mobile) de ""Gestion des syndics de copropriétés"" pour mettre le digital au service du bien être collectif.","Foued Ben BabisMontassar Gharssa","n.a.","n.a."
"undefined","Avidea","Business Software and services","2017","04/2020","","Nous aidons les compagnies d'assurance à réduire le coût de sinistre automobile en leur offrant une plateforme logicielle de digitalisation de sinistre automobile et de lutte contre la fraude","Jaafar NasriAnis Safraoui","n.a.","n.a."
"undefined","WeaveLines Studio / Damdoum","Business Software and services","2023","08/2023","","WeaveLines Studio est une startup labellisée se spécialisant dans le développement de solutions novatrices pour le web et les applications mobiles. DAMDOUM représente le premier produit de WeaveLines Studio, une application mobile innovante basée sur le concept de gamification, alliant quiz, sondages et récompenses.","Faten Matmati","hello@damdoum.app","+216 29 350 910"
"undefined","DATAERA","Business Software and services","2018","06/2019","","Accompagner les entreprises dans la maîtrise, l’analyse et la visualisation de leurs données. Les aider à valoriser leur capital informationnel pour accroître leurs revenus et la performance globale à l’aide des nouvelles technologies de Big Data et Data Analytics.","Hedi ZouariMaher HENI","n.a.","n.a."
"undefined","FABSKILL","Business Software and services","2018","06/2019","","FABSKILL offre aux recruteurs une plateforme web pour la gestion digitalisée des processus de recrutement en utilisant les nouvelles technologies et l'intelligence artificielle.","Sofiene MabroukBechir AfifiMohamed BenSfar","n.a.","n.a."
"undefined","Market360Degrees","Business Software and services","2021","07/2021","","Market360Degrees fournit des solutions destinées aux vendeurs sur les sites e-commerce, en suivant leurs produits et en analysant les prix et la réputation.","Ghassen SelmiAmen Eddine MiliHoussam JedidiRene SehiJoerg FunderGuenter Althaus","n.a.","n.a."
"undefined","TUNISIE MATÉRIEL ROULANT","Business Software and services","2018","05/2019","","LE PORTAIL TMR est un portail pour le service et l'exploitation, c'est une solution de marketing digital qui aide les entreprises à mieux se référencer.","Amel BesbesKais Laaribi","n.a.","n.a."
"undefined","branper","Business Software and services","2020","05/2021","","Branper offre une solution d'études comportementales en ligne, basé sur des questionnaire en ligne avec des incentives offertes aux participations.","Saïd Ben JliliHamza ben jannet","n.a.","n.a."
